"mu_alpha" "mu_beta" "mu_delta" "sigma_alpha" "sigma_beta" "sigma_delta" "sigma_epsilon"
0.662617707081624 4.92589014407845 3.6429153019357 0.28158144543817 0.55759624149352 0.361348265539025 0.187835810084721
0.87558672356915 5.38718641325546 2.49763879600112 0.483653108610738 0.601333378575369 0.728437419257975 0.212244801211534
0.658081103210128 5.04429343251324 2.19662989738956 0.223433095446869 1.02938747852541 0.353374917968394 0.236899694533332
0.79047144362536 5.68110504920552 3.02847872691415 0.337046000011675 1.62709726762334 0.409084082795918 0.224550948624764
0.726109810104684 5.44398950350674 3.27420770245092 0.367719777800934 1.12407591834542 0.362380912660492 0.224957649218648
0.750967317347111 5.53115850775511 3.11519041898416 0.295127152474242 1.18089107476546 0.611409777245418 0.169270909498166
0.719269636716245 4.99648331488611 2.74422043353051 0.347204826918673 0.737687876491839 0.154367713420562 0.217164813544281
0.789213566657663 5.52012763630844 3.07602010434171 0.244028817189352 0.838508555667347 0.490981712420397 0.230085184428159
0.758527230750126 5.58171344009387 3.11317140246025 0.287051228055244 0.955347806158797 0.290150043473225 0.248521603861801
0.595570470772389 5.04083860874369 2.49192220004116 0.448749501209872 0.533402777318909 0.414639914984156 0.22561278396
0.853863170121482 4.99709109031131 2.32749039089117 0.289426547991229 0.482485677988797 0.31230589679734 0.191644134018165
0.521540849489175 5.23917005422969 3.79749298660893 0.539267839707097 0.643974264165483 0.43038848099335 0.186160750861075
0.642187249442174 5.48490265582459 3.32741638673538 0.671614518181302 0.623319633994312 0.60625118694397 0.199300214278482
0.663446528826688 5.64666596510701 2.38963712457594 0.331298628152122 0.186488643664833 0.3175403064966 0.210440394394965
0.800275802156487 5.73088544747241 2.34774917520956 0.391499913594106 1.11033855030274 0.644886051958274 0.198656522728603
0.649247009897551 5.70991113648713 2.78130148534716 0.543824093170564 0.487654635626553 0.544912386164765 0.220959678662077
0.78807421258139 5.92080694557527 2.22859013033491 0.732457964157042 0.607681184005294 0.460604201587075 0.208229156563558
0.766754293585826 6.8903388118485 2.6086631613487 0.775313956915173 0.484472224484083 0.365783584842739 0.18440176660151
0.267598190465667 6.78454892573026 2.74875941048853 0.96595055738403 0.576805869063018 0.65107602802 0.217614233086753
0.311872399059814 6.8584570073005 2.75054596819124 1.06506666109415 0.540637862440196 0.643119030049843 0.220450097187146
0.326485472507242 5.71304507355027 2.49075036033096 1.95901976801917 0.673010030669728 0.601126754749188 0.187659614982512
0.78209898390923 5.09928109158006 2.84788870687135 0.223306996937569 0.570319411538333 0.624334599737359 0.202863448276694
0.639320724877262 5.73910820624143 2.79765045314803 0.380692980240068 0.396748188477433 0.433691151187502 0.210733017506376
0.491209719908916 4.92968711530365 3.15231413610845 0.945171865071418 0.493824147163066 0.482674664556259 0.182045983667185
0.443701864820406 4.99296715739572 2.40765128965814 0.850126576688171 0.434978199986416 0.61546020164427 0.196355889632797
0.755322891960182 4.89823911564018 4.13400921213401 0.856142495597311 0.487614586000512 0.560087707545346 0.216133916349833
0.42711933571251 5.25251281852845 3.95349927583054 0.54652249317069 0.582819290416367 0.613202961388276 0.186287570656089
0.921915782360122 5.52232849799108 2.41412634269681 0.367011950422076 0.677829789076713 0.417566153917172 0.216293994355095
0.780288702821565 4.67086662352189 2.94440437303098 0.325107099423711 0.538440923753093 0.525871562618573 0.199836226281843
0.898531996632196 6.38430300874513 3.26155982774381 0.330367526852799 0.770194383832337 0.747750584137656 0.208507432002109
0.923632537723624 5.11645555839845 3.95400310245411 0.36898614276343 0.901455394903248 0.669657709485675 0.218969189574288
0.898117595171679 5.60493487556186 3.46183303863174 0.570067086213738 0.697904749020206 0.651631388271483 0.220043853041424
0.79275338707517 4.93638473003383 3.79379511347658 0.384946869569779 0.809022305724346 0.568558385029933 0.191577992354546
0.815072234476123 5.38631782061522 2.31240454248184 0.371513125248544 0.87821458032541 0.774386921061393 0.186223966621693
0.862038924134499 5.70984602562756 2.24894382876061 0.273620887859936 0.601041295881006 0.716599941444819 0.186619983636435
0.876681728099545 5.27035156410686 2.53353094497098 0.323561326343656 0.444235309652356 0.367374284168373 0.229770133310265
0.851219397758584 5.53706140501483 2.13176145494516 0.305237620855994 0.672774200979503 0.49607170154185 0.237671514969143
0.545101101206701 5.15047183887749 2.5383311482251 0.316660725831201 0.546298564761702 0.756238918634328 0.204959107843392
0.868882536515933 5.48990470220682 2.50108718333094 0.362557444100382 1.08229812919467 1.15819663932994 0.170652113914211
0.859212194461886 5.96213600881621 1.80479818567354 0.17059445793385 0.672659951479674 0.614388137055597 0.157458763797393
0.935830905351347 5.94456980486214 2.38988301467468 0.486898170176688 0.563914859161008 0.932661566400644 0.222719379600095
0.990786326252327 6.20623422932706 2.34059541691898 0.465275823144613 0.606363327905463 0.550528189918734 0.198417644901092
0.988323321371703 5.37429585237354 2.27646279898766 0.212195137785761 0.998524055462731 0.815368288642365 0.196158913817381
0.854653362526639 6.35273258306231 2.14715150463218 0.3267599643733 0.434061307882924 0.648805958319893 0.224067532275127
0.46327593606158 6.71483270558117 2.0981269966387 0.540600487087137 1.45193807059803 0.536248231910022 0.182152746522022
0.899196351048827 5.60500437146545 2.38013011949859 0.341629641523087 1.12832862636243 0.815080890496325 0.225548160965497
0.876776810222818 5.62582967964327 2.34082286263317 0.407379500444517 0.922003122553422 0.749666389794981 0.220812978747628
0.88754613988898 4.95118676760105 3.35842236982807 0.501369136576342 0.558495591379418 0.490406934131328 0.206447505754391
0.776708921945721 5.39006954938482 3.51061007526343 0.237806356026352 1.31550541384367 0.557110388528412 0.199814095342117
0.540127621634536 4.58313794389855 2.68064090682046 0.633176536421907 0.807581024978027 0.64863408314641 0.189260111171045
0.584075596338917 4.61808377379428 3.14867068346761 0.546901083729534 1.64570416723196 0.565951538479523 0.186942171016021
0.748723472600273 4.78647969776818 3.77938255333456 0.388675172470297 0.432312040331446 0.689500283758708 0.204937687718856
0.690149741645245 4.35824857837173 4.04712921490035 0.392766485645143 0.540276557220766 0.734258363369021 0.208077730737833
0.767275661410975 5.5630110358744 3.66500948112321 0.318805075185573 0.989704022580106 0.678244680645993 0.2145723566012
0.625821620210068 3.58751302310474 3.26088925156759 0.663430216128144 1.29433541563186 0.672205400105432 0.202786187738963
0.486237649176399 4.41548213193208 3.29706232526639 0.231856040805151 1.18700150241574 0.707035553993834 0.220806527998894
0.453191489745612 5.21093173060727 2.35844116032519 0.629875617452298 1.11989633064511 0.623034672054799 0.229661967519916
0.874310044796549 4.76383971816414 2.765666482517 0.221360730405708 0.906947889560467 0.455329157707311 0.211099761275519
0.768489813859766 5.50599296105623 2.08347316542269 0.474078754566531 0.590281776520546 0.564682286267731 0.184343565704944
0.592350865414701 5.6248619204857 2.69262399052095 0.74340629264093 0.489925067598985 0.495075165532604 0.224314484504812
0.504057922232693 5.77932977211064 3.09836930229797 1.03050736172825 0.842103149206666 0.575375962109937 0.191092713827366
0.240596125177106 6.12645935294156 3.25704467365116 0.773562274402539 0.871911431810181 0.742277662029034 0.193796938418548
0.601940448618051 5.35652577278377 2.86449259599783 0.841317803377499 0.657261675741836 0.725887892100785 0.202627064098474
0.771098529248846 6.01890785263455 3.03155177626656 0.51718429683566 0.709522750795789 0.215879297254257 0.199356655342413
0.797822299948535 5.41604106575864 3.03287769102859 0.419023937774307 0.643729597901394 0.644484501639344 0.211269157855173
0.645705816919759 6.05132540794137 3.57084983622697 0.35581949580483 0.725686206587112 0.415629964024517 0.171497186818046
0.777886358899081 4.71392620153928 2.75400033839233 0.331929070239036 0.634812063987155 0.711981233142464 0.235706174870245
0.948922500504275 5.39300061794695 4.26980031084419 0.444443740659204 0.777814226177939 0.928500820856849 0.189512676947494
0.973308903802614 5.48308527855471 3.35422345103285 0.691244734376326 0.588934928715002 1.07408413735093 0.176863287643896
0.438282284617781 5.19515061542115 2.21070631854668 0.848264415339463 0.458136897062184 0.472467365124011 0.18906292679937
0.806545698059968 5.62601879273923 3.09327875709978 0.769788037156614 0.508049334463643 0.973598466234216 0.171741719883369
0.564069083115732 5.70219414886735 3.27455393990744 0.365700545679965 0.923967380157172 0.72430632249367 0.201739124085698
0.48531430077457 6.06402882295571 2.9037076890712 0.366859346495696 0.699208363509019 0.744029102411366 0.203994945166252
0.80706467484354 4.01740776403091 2.21337779374272 0.278683618442427 1.32739757963607 0.510168272379635 0.202459420357422
0.627980010479868 4.51426346806323 2.54598110478226 0.392431991121864 1.178570288362 0.61581664725474 0.207036530344866
0.628853408296707 5.48872856913778 3.62901323968568 0.434935368117534 0.702334001480414 0.345284108591429 0.182831735830214
0.801097305469664 4.64725028745294 2.99416719924794 0.239972235967456 0.63632631602164 0.256092137339255 0.217630633050407
0.898516180106827 6.03921000537466 3.19914538219375 0.266597924465481 0.655191397692015 0.322325248947294 0.185053053109167
0.915227526415604 5.7778445492386 2.94698292921079 0.492753442604527 0.566689962679606 0.554543945741147 0.181106836567105
0.892160974450491 5.79716093838173 3.46200307326547 0.385115948203088 0.923146755419662 0.719005165191951 0.175498156525358
0.6579757221744 5.58939877007121 2.82697428881175 0.151643958818665 0.433401655628347 0.7419850998697 0.20682124493682
0.906574079540984 5.77601022882715 2.84169585137071 0.469967167602992 1.05755344728614 0.528367241128861 0.211470859750434
0.910522650839504 5.67070875377313 2.60350973795367 0.548567089454408 0.912698376376014 0.40075178720802 0.191591200482988
0.859907294732672 5.31065527297595 2.89054048521885 0.254852626464073 0.617970877349419 0.226880900237343 0.197246318043641
0.905055510690046 5.80421212376274 3.03960880628654 0.286413337376927 0.780074593439896 0.357209739297609 0.174494156433703
0.585433622207789 5.62313173767617 3.27828920076153 0.239866025391849 0.335634397707106 0.620564186195038 0.239378279896278
0.953517924477274 5.09798171438455 1.75411972603406 0.304468848223276 0.567280518250682 0.542106927322938 0.18380248688436
0.976294836212187 5.34450531820099 2.26782377344551 0.477173792130122 0.535507599554338 0.738497262822559 0.198103871223081
0.916115822889101 5.52932322393695 2.456821604372 0.319155640123074 0.402095543995799 0.842898213077423 0.207431160724887
0.817137716059788 5.84811635968442 2.548936292259 0.266092955425086 0.653621137210528 0.601268659202455 0.210419212063959
0.624019924827221 5.04168380152193 2.94037521348354 0.312685718456782 0.724372976776066 1.68019112979435 0.176938969699771
0.618892775902982 5.00697145298527 2.98902663009095 0.322594031002628 0.682293615005874 1.65253834136256 0.178300368325072
0.659756161331558 5.38193756349634 2.5949882764922 0.252594535086894 0.345329093790633 1.48200247008253 0.217730450863883
0.765782807647864 4.92446926456298 2.2041408762435 0.2618493860693 0.343139419480843 1.58264542280389 0.203120894350097
0.862878282642594 5.03376192911724 2.96122418631052 0.24000282262482 0.298762572763484 1.47560146838048 0.205659227439433
0.911436184767166 5.48000655722863 3.19377809909773 0.401117782694429 0.356970144640588 0.615130128320471 0.23365261536861
0.944103965919352 5.52576234502887 3.07492042755226 0.492857716979131 0.337418194955787 0.577556688858455 0.22574192861537
0.94864363285358 5.21029464522351 3.25882419587573 0.280425547681354 0.47073173110995 1.06904258854989 0.180331380632873
0.926470669842375 5.51861597541031 3.18890979187415 0.513085771009345 0.543494456582136 0.937120537609586 0.243508390285636
0.952548509139132 4.87720449469404 3.00652406089691 0.343326283349767 0.745889535934664 0.440033621360183 0.201489638150393
0.943200965804417 5.91326956570401 2.19331559763595 0.332923973381692 0.704818598904871 0.399327435443382 0.20381625747807
